species,age,count
dinosaur,11,1
brown-bear,24,1
german-shep,12,3
hyena,12,2
polar-bear,21,1
red-fox,37,1
grey-fox,37,1
red-panda,30,2
dragon,48,2
other-mustelid,34,1
dinosaur,15,4
lemur,15,2
wolf,46,1
kitsune,12,1
coyote,12,2
other-dog,12,1
othercanine,12,1
tiger,12,1
lion,12,1
panther,12,1
cheetah,12,1
cougar,12,1
other-feline,12,1
dragon,12,1
dinosaur,12,1
other-reptile,12,1
badger,12,1
river-otter,12,1
sea-otter,12,1
weasel,12,1
other-mustelid,12,1
other-musteloid,12,1
horse,12,1
deer,12,1
other-ungulate,12,2
brown-bear,12,1
grizzly-bear,12,1
pandabear,12,1
polar-bear,12,1
other-bear,12,1
mouse,12,2
rat,12,1
squirrel,12,2
raven,12,1
raptor,12,1
other-bird,12,1
rabbit,12,1
kangaroo,12,1
koala,12,2
othermarsupial,12,1
lemur,12,1
monkey,12,2
other-primate,12,1
griffin,12,1
leopard,48,1
othermarsupial,48,1
kangaroo,30,1
other-feline,40,1
lizard,13,1
dinosaur,13,1
hyena,13,1
bat,13,1
squirrel,30,1
skunk,37,1
rat,37,1
collie,,1
domestic-cat,45,1
dragon,45,1
raptor,32,1
arctic-fox,39,1
arctic-fox,11,1
sea-otter,46,1
red-panda,25,2
brown-bear,25,1
pandabear,25,2
other-bear,25,1
red-panda,29,1
pandabear,29,1
lizard,52,1
badger,15,3
badger,33,1
hyena,31,1
mouse,48,1
other-reptile,14,1
monkey,27,1
grey-fox,40,1
wolf,52,2
grey-fox,52,2
other-fox,52,2
coyote,52,3
cougar,52,2
other-feline,52,2
dinosaur,52,2
grizzly-bear,52,2
monkey,52,2
other-primate,52,2
weasel,14,2
sea-otter,,1
coyote,49,1
other-feline,61,1
other,61,1
sea-otter,14,2
other-primate,25,1
horse,48,1
wolf,56,1
cougar,56,1
dragon,56,1
raccoon,56,1
hyena,56,1
raven,13,1
griffin,13,1
monkey,24,1
hyena,40,1
german-shep,13,1
other,108,1
othermarsupial,108,1
wolf,57,1
german-shep,57,1
husky,57,1
lion,57,1
dinosaur,57,1
horse,57,1
polar-bear,57,1
other,57,1
other-primate,57,1
cheetah,44,1
wolf,11,1
othercanine,11,1
hyena,11,1
bat,35,1
grizzly-bear,36,1
griffin,15,2
skunk,42,1
other-fox,38,1
grizzly-bear,15,1
pandabear,15,1
koala,15,1
othermarsupial,15,1
skunk,14,1
othercanine,36,1
grey-fox,31,1
