species,age,count
kitsune,32,5
rabbit,27,10
kitsune,18,30
other-bear,,4
dragon,27,23
grey-fox,18,13
othercanine,18,33
othercanine,23,15
panther,20,16
other-fox,31,1
domestic-cat,31,9
other,31,13
arctic-fox,21,22
griffin,27,8
hyena,38,1
other-ungulate,22,11
river-otter,29,2
arctic-fox,27,9
othercanine,34,1
other-feline,27,9
lion,29,8
other-bird,29,2
leopard,26,10
other-bear,33,1
other-bear,22,7
other-dog,28,16
squirrel,29,1
rabbit,29,7
other-fox,29,4
cheetah,29,2
red-fox,25,40
grizzly-bear,40,1
coyote,23,12
domestic-cat,20,60
griffin,20,13
domestic-cat,42,4
grizzly-bear,42,2
other-mustelid,31,1
kangaroo,27,5
mouse,25,6
other-reptile,24,5
tiger,22,33
brown-bear,27,3
wolf,45,3
squirrel,27,2
leopard,46,1
lemur,16,5
skunk,26,9
red-fox,36,7
cougar,29,3
grey-fox,39,1
kitsune,39,5
rabbit,19,32
wolf,39,5
other,38,7
raptor,38,2
other-bird,38,3
griffin,38,2
other-dog,37,2
deer,37,1
other,37,6
other-bird,37,1
griffin,37,2
lion,34,2
horse,34,5
other-bear,43,1
other,43,5
domestic-cat,36,2
other-feline,37,3
sea-otter,37,1
other-mustelid,24,6
other-feline,22,28
raven,22,8
arctic-fox,32,5
red-fox,42,1
other-fox,39,2
other,39,11
skunk,22,13
squirrel,28,6
river-otter,46,3
raccoon,32,4
other-dog,25,13
raccoon,33,4
lion,22,17
collie,24,3
raccoon,27,8
other-fox,14,14
other,14,36
wolf,15,130
husky,29,8
red-fox,20,73
river-otter,27,1
othercanine,22,30
red-fox,24,41
river-otter,34,2
sea-otter,34,2
husky,28,11
othercanine,28,2
panther,28,6
skunk,28,8
weasel,28,1
other-mustelid,28,3
other-musteloid,28,1
deer,28,2
rat,28,2
hyena,28,2
wolf,44,5
domestic-cat,44,1
raptor,44,1
skunk,25,13
raccoon,21,21
hyena,32,1
river-otter,26,7
other-feline,46,1
other,46,6
leopard,23,14
lion,30,4
lion,28,8
other-reptile,27,1
grey-fox,33,1
collie,25,8
wolf,33,16
husky,33,4
othercanine,33,3
horse,33,4
rat,33,2
grey-fox,26,7
weasel,26,7
coyote,38,4
cougar,38,2
skunk,47,2
rabbit,47,2
other-ungulate,40,1
other,40,7
kitsune,28,7
dinosaur,21,7
cougar,40,2
other-reptile,18,13
tiger,17,40
other-mustelid,26,5
sea-otter,42,2
lion,26,10
brown-bear,26,6
cougar,23,8
kitsune,23,15
bat,48,1
dragon,36,8
kitsune,26,12
cheetah,32,2
mouse,19,6
hyena,21,12
other-fox,21,23
badger,45,1
cougar,22,4
monkey,22,3
arctic-fox,26,10
wolf,37,6
dinosaur,27,2
german-shep,23,5
other-bird,23,11
red-fox,21,66
lizard,20,20
deer,27,4
other-ungulate,27,3
skunk,40,2
other-dog,39,4
horse,44,2
other-ungulate,18,7
pandabear,17,10
mouse,17,6
sea-otter,23,10
other-ungulate,23,9
grizzly-bear,23,2
other-bear,23,4
raven,23,9
othermarsupial,23,4
lemur,23,3
other-primate,23,2
dragon,30,12
dinosaur,30,2
domestic-cat,41,3
rabbit,41,1
collie,21,11
othercanine,21,25
hyena,24,7
raptor,39,1
other-bird,39,1
deer,25,4
raptor,25,6
pandabear,22,1
river-otter,19,22
sea-otter,19,9
tiger,,13
cougar,26,7
othercanine,35,2
rabbit,23,24
leopard,19,27
red-fox,15,57
raven,15,4
domestic-cat,25,35
german-shep,21,16
tiger,26,19
badger,34,1
coyote,24,13
cheetah,31,1
rabbit,35,3
tiger,21,36
othermarsupial,45,1
husky,16,46
cheetah,28,4
cheetah,26,10
domestic-cat,46,2
weasel,24,2
other-ungulate,29,4
griffin,29,3
other-fox,33,3
other-feline,33,3
skunk,33,3
weasel,33,2
red-panda,33,1
deer,33,3
squirrel,33,1
griffin,33,3
leopard,31,3
other,49,5
raptor,26,8
other-mustelid,29,2
other-ungulate,16,10
dragon,15,28
skunk,15,7
tiger,20,37
dinosaur,20,9
othermarsupial,20,6
domestic-cat,15,42
other-bird,26,5
raven,33,1
deer,39,1
river-otter,40,2
sea-otter,40,1
skunk,34,2
squirrel,34,3
rabbit,34,5
kangaroo,34,1
cheetah,24,4
mouse,24,4
other-bird,24,4
brown-bear,40,1
skunk,31,2
cheetah,20,16
monkey,20,5
dragon,,25
arctic-fox,30,3
