species,age,count
snow-leopard,34,4
panther,34,1
domestic-cat,34,3
dragon,34,5
red-panda,34,3
horse,34,3
panda-bear,34,1
mouse,34,2
squirrel,34,2
other,34,12
raven,34,2
raptor,34,1
koala,34,1
othermarsupial,34,1
lemur,34,1
bat,34,3
griffin,34,1
other-feline,48,1
horse,48,1
other,48,4
collie,23,7
tiger,23,19
lion,23,17
panther,23,10
sea-otter,23,4
red-panda,23,4
panda-bear,23,3
rabbit,23,14
kangaroo,23,7
monkey,21,3
collie,32,2
other-canine,22,21
other-canine,14,8
other,14,46
other-dog,42,1
deer,16,15
leopard,49,1
panther,49,1
husky,27,15
other-canine,25,11
other-feline,23,16
lion,54,4
wolf,49,1
coyote,29,2
other-feline,21,30
other-bear,21,7
tiger,27,20
raccoon,29,5
wolf,36,9
other-fox,18,27
rat,19,11
husky,36,2
lion,41,1
cheetah,41,1
deer,59,1
other-bear,58,1
other,58,2
rabbit,58,1
red-fox,31,11
other-dog,14,14
other-primate,14,2
squirrel,19,7
other-bear,25,1
lion,19,20
cougar,19,5
hyena,50,1
snow-leopard,18,23
other-dog,26,10
kangaroo,44,1
dragon,27,18
raccoon,55,2
coyote,46,2
arctic-fox,16,21
coyote,22,18
red-panda,19,6
other-fox,40,1
other,40,6
red-fox,27,19
other-reptile,19,14
other-bear,19,7
tiger,35,3
raccoon,26,6
red-fox,13,11
deer,19,17
raccoon,24,10
rabbit,18,13
leopard,31,3
griffin,21,14
wolf,38,10
sea-otter,24,4
dragon,,11
dragon,30,11
wolf,15,92
panther,15,6
dragon,15,30
dinosaur,15,4
other,15,69
othermarsupial,15,4
monkey,15,2
deer,27,5
other-feline,43,1
other,43,6
other-bird,43,2
raven,18,16
cougar,27,2
collie,26,3
collie,22,6
hyena,22,10
tiger,18,36
other-ungulate,25,4
husky,31,5
other-bear,26,1
collie,16,4
rat,29,8
lizard,21,14
other-fox,36,2
lion,16,8
kitsune,28,5
rabbit,26,8
other-bear,28,2
other-dog,16,25
cheetah,20,10
other-fox,25,17
dragon,32,8
griffin,32,2
other-bird,26,7
other-ungulate,22,8
panther,21,11
red-fox,,8
raccoon,,2
domestic-cat,14,19
panda-bear,24,2
horse,45,1
red-fox,14,21
lion,32,2
german-shep,33,1
husky,15,36
raptor,15,6
hyena,26,6
griffin,16,5
grey-fox,19,20
lion,21,18
brown-bear,22,5
grizzly-bear,22,6
other-dog,15,16
tiger,15,16
polar-bear,15,5
other-feline,17,21
raven,22,6
other-feline,27,10
jackal,17,4
griffin,19,8
brown-bear,16,3
other-reptile,18,12
jackal,26,4
skunk,26,2
arctic-fox,21,21
tiger,19,33
river-otter,16,7
weasel,16,5
raptor,16,8
other-bird,16,12
other-mustelid,22,6
other,37,4
rabbit,37,1
othermarsupial,37,1
other-canine,27,6
rabbit,27,6
other-dog,17,18
othermarsupial,17,2
other-bear,53,1
other,53,1
panther,26,3
other-dog,,4
other-fox,39,2
horse,39,2
leopard,32,2
other-fox,23,24
arctic-fox,20,20
grey-fox,24,6
other-fox,24,8
domestic-cat,33,2
snow-leopard,23,24
red-fox,30,8
panther,45,1
snow-leopard,28,9
red-panda,28,2
kitsune,16,11
other-dog,27,9
polar-bear,37,1
brown-bear,24,3
other-bear,24,4
red-fox,29,10
tiger,29,9
cheetah,23,13
bat,23,8
arctic-fox,18,27
other-canine,30,2
rabbit,30,5
arctic-fox,39,1
other-fox,19,46
other-mustelid,30,2
other-fox,33,3
rabbit,33,5
squirrel,44,1
red-fox,38,3
wolf,44,5
other-fox,35,3
other,35,9
raccoon,54,1
other-mustelid,54,1
other,54,4
koala,20,2
panther,,2
bat,17,7
red-panda,25,3
leopard,19,3
snow-leopard,19,16
cheetah,19,3
dinosaur,19,6
skunk,19,10
grizzly-bear,19,6
panda-bear,19,5
polar-bear,19,8
raven,19,10
koala,19,2
lion,27,7
coyote,59,1
other-feline,59,1
other,59,1
hyena,33,2
weasel,35,1
river-otter,20,29
other-feline,13,4
other,13,17
german-shep,24,11
collie,24,2
cougar,24,1
other-bird,18,14
brown-bear,21,4
wolf,14,41
german-shep,22,18
husky,33,3
other-feline,33,8
raccoon,33,1
other-dog,28,7
grizzly-bear,17,5
arctic-fox,32,2
lion,28,5
lizard,30,1
skunk,21,8
hyena,21,13
tiger,16,24
river-otter,31,5
lion,18,17
cougar,18,2
domestic-cat,35,2
german-shep,15,10
grey-fox,22,16
other-bear,31,2
bat,28,2
horse,18,17
horse,,2
raven,,3
other-bird,,1
bat,,3
griffin,,2
other-canine,26,3
panther,16,6
cougar,28,3
rabbit,28,10
other-ungulate,20,11
other-dog,22,24
other-mustelid,25,3
lion,44,1
river-otter,27,3
collie,18,13
river-otter,18,15
sea-otter,18,13
coyote,34,2
lion,35,1
jackal,24,6
raven,31,3
grey-fox,15,12
arctic-fox,15,20
kitsune,15,9
other-fox,15,29
coyote,15,9
jackal,15,2
collie,15,6
other-canine,15,11
snow-leopard,15,6
other-mustelid,15,2
other-musteloid,15,2
kangaroo,15,5
hyena,15,5
husky,32,5
raccoon,13,3
skunk,15,6
raccoon,15,10
sea-otter,21,6
other-mustelid,21,6
lemur,19,1
bat,29,1
bat,20,10
other-dog,21,33
raptor,19,7
raptor,20,11
polar-bear,20,7
othermarsupial,26,1
other-mustelid,24,4
german-shep,29,2
lion,30,3
leopard,30,3
polar-bear,30,2
raptor,30,1
other-canine,20,22
lion,24,12
lizard,16,6
domestic-cat,13,7
dragon,13,5
griffin,13,6
polar-bear,21,4
other-fox,31,2
squirrel,20,4
sea-otter,20,7
other-bear,18,6
red-panda,22,4
raptor,22,8
rabbit,22,16
koala,22,2
cougar,21,8
grey-fox,,5
dinosaur,,3
rat,20,5
dinosaur,21,9
panda-bear,21,9
rat,21,4
squirrel,21,8
rabbit,21,17
hyena,24,9
bat,24,8
other-bear,56,1
other,56,1
tiger,37,1
weasel,24,2
other-ungulate,32,3
other,32,12
raptor,18,4
other-bird,28,4
husky,38,4
tiger,38,6
skunk,31,2
wolf,43,5
domestic-cat,55,2
husky,40,1
river-otter,17,15
grey-fox,20,16
snow-leopard,16,18
othermarsupial,23,1
dinosaur,32,2
arctic-fox,23,15
kitsune,14,8
other-feline,20,22
weasel,20,7
hyena,34,1
bat,18,10
griffin,15,7
raccoon,18,17
skunk,18,4
weasel,18,4
rat,18,7
kangaroo,18,10
panther,22,8
skunk,29,4
other-feline,22,26
kitsune,24,13
other-bird,21,17
lion,40,2
lizard,18,15
griffin,18,9
leopard,18,4
other-fox,14,14
other-canine,24,11
dinosaur,27,2
cheetah,58,1
cougar,58,1
wolf,53,3
lizard,17,6
mouse,17,3
rat,17,5
griffin,26,4
horse,21,14
raccoon,38,1
panther,17,7
other-musteloid,17,2
raptor,17,6
griffin,17,11
coyote,30,3
horse,16,16
skunk,14,3
other-ungulate,19,5
coyote,17,6
river-otter,23,10
other-reptile,22,14
other-canine,17,16
hyena,19,14
brown-bear,29,1
coyote,33,1
mouse,33,1
deer,15,11
other-canine,18,21
jackal,22,7
leopard,22,9
sea-otter,22,4
other-bear,22,7
other-bird,22,9
german-shep,16,13
leopard,16,7
german-shep,21,17
kitsune,25,10
dragon,14,10
deer,14,6
grizzly-bear,14,3
raven,14,5
bat,14,4
othermarsupial,29,1
other-feline,25,17
badger,23,2
raptor,23,11
skunk,42,1
mouse,42,1
kitsune,57,1
bat,21,8
jackal,30,2
grey-fox,31,1
cheetah,18,7
other-dog,13,4
horse,24,8
german-shep,25,8
other-reptile,20,16
lizard,20,20
snow-leopard,25,10
other-reptile,21,7
raven,27,3
lemur,15,2
other-feline,15,11
rat,25,8
bat,25,7
other-bird,15,4
coyote,51,2
cougar,51,1
river-otter,56,1
cheetah,25,9
raptor,13,3
other-reptile,16,7
kangaroo,16,5
other-canine,42,3
raptor,42,1
grey-fox,14,5
german-shep,14,9
other-fox,2013,2
other,2013,4
snow-leopard,21,21
panther,32,4
rabbit,16,8
grey-fox,23,14
dinosaur,31,1
other-reptile,31,2
other-ungulate,31,2
jackal,18,10
raptor,26,3
lizard,43,1
red-panda,16,9
squirrel,36,1
other-fox,29,6
griffin,25,3
badger,16,2
other-mustelid,16,3
lion,22,24
german-shep,,4
other-canine,,2
polar-bear,29,2
hyena,25,5
panther,38,1
wolf,37,4
other-ungulate,16,9
rat,16,9
skunk,17,5
other-reptile,24,5
raptor,24,4
other-bird,23,5
collie,31,2
collie,17,3
deer,31,2
cheetah,15,4
domestic-cat,32,5
other-bear,33,1
other-reptile,28,5
griffin,35,1
raccoon,22,6
other-ungulate,29,5
collie,29,2
othermarsupial,24,2
jackal,31,3
cougar,38,1
other-ungulate,18,7
horse,17,10
deer,17,8
other-ungulate,17,6
cougar,35,2
rabbit,35,3
other-canine,29,2
panther,29,4
cheetah,29,2
kangaroo,26,6
grizzly-bear,15,3
other-musteloid,25,2
domestic-cat,40,1
other-ungulate,40,1
other-canine,33,2
lion,29,6
lion,15,10
other-feline,14,7
other-ungulate,14,3
rabbit,51,2
mouse,28,4
jackal,25,7
other-mustelid,29,3
coyote,39,1
other-canine,34,1
rabbit,34,4
panda-bear,16,5
squirrel,17,6
raccoon,14,8
badger,14,1
polar-bear,14,3
hyena,14,4
raven,15,5
dinosaur,29,2
deer,25,6
rabbit,14,4
othermarsupial,22,4
other-bear,20,9
cheetah,26,6
wolf,13,14
kangaroo,17,4
husky,10,1
other-feline,10,1
dragon,10,1
lizard,10,1
dinosaur,10,1
other-reptile,10,1
raccoon,10,1
badger,10,2
horse,10,2
deer,10,1
other-ungulate,10,1
mouse,10,2
rat,10,1
squirrel,10,1
other,10,1
raven,10,1
raptor,10,2
other-bird,10,1
rabbit,10,2
griffin,10,1
skunk,22,7
german-shep,18,16
lion,52,1
other-ungulate,52,1
other,52,1
other-canine,31,1
cheetah,31,3
weasel,17,4
raven,17,4
rabbit,15,11
lemur,27,2
jackal,29,2
mouse,23,1
other-ungulate,30,3
other-bear,16,4
monkey,20,5
mouse,20,4
raccoon,16,12
river-otter,46,1
weasel,25,4
deer,18,16
hyena,18,14
other-fox,28,6
wolf,40,2
leopard,40,2
other-fox,12,1
other,12,4
wolf,60,1
lizard,32,2
red-panda,32,1
rabbit,32,4
mouse,18,5
other-feline,32,2
horse,15,7
lion,33,5
polar-bear,39,1
other-feline,28,4
other-reptile,32,1
rat,32,4
raven,32,1
kangaroo,19,4
badger,42,1
other-mustelid,42,1
dinosaur,17,3
leopard,47,1
domestic-cat,47,1
other,47,1
other-primate,47,1
domestic-cat,37,1
other-feline,62,1
dragon,62,1
dinosaur,62,1
horse,62,1
grizzly-bear,62,1
other,62,1
kitsune,38,1
kitsune,33,1
other-dog,29,3
red-fox,35,1
horse,35,3
other-dog,30,7
other-feline,30,2
raven,30,2
collie,19,9
other-feline,31,4
skunk,50,1
lizard,25,3
panther,28,1
cheetah,28,3
raven,28,4
other-bear,17,3
dragon,12,3
othermarsupial,18,7
lemur,18,2
other-bird,27,3
griffin,14,3
badger,22,3
other-reptile,15,3
lemur,16,2
dinosaur,18,8
raptor,,4
other-dog,2013,1
lion,2013,1
red-panda,17,6
rat,22,4
jackal,14,4
cougar,14,4
deer,22,9
bat,30,1
red-fox,36,3
panda-bear,20,2
red-panda,20,4
leopard,15,1
cougar,15,1
grey-fox,25,8
panther,18,6
other-musteloid,18,6
other-primate,18,3
hyena,27,8
othermarsupial,20,5
lemur,23,1
arctic-fox,28,4
skunk,,1
river-otter,,2
red-fox,65,1
domestic-cat,65,1
arctic-fox,25,4
other-primate,19,1
river-otter,15,5
raven,20,9
other-ungulate,,2
coyote,43,2
deer,21,10
other-reptile,14,2
raptor,14,4
other-bird,14,3
rabbit,36,4
other-ungulate,26,3
raccoon,23,6
snow-leopard,,3
skunk,16,3
griffin,22,6
collie,25,3
kangaroo,,4
lemur,22,3
raven,16,6
monkey,25,1
lizard,36,1
raptor,36,1
other-bird,36,1
griffin,36,1
leopard,24,2
skunk,27,2
red-fox,2013,3
other-canine,2013,1
badger,49,1
skunk,28,5
other-mustelid,18,8
other-bird,24,4
squirrel,22,6
rat,,1
leopard,35,2
snow-leopard,35,3
panther,35,3
cheetah,35,2
other-feline,35,3
kitsune,23,8
bat,13,3
mouse,15,3
horse,27,8
griffin,27,3
domestic-cat,42,1
mouse,24,2
rat,24,5
collie,20,4
dinosaur,20,7
other-musteloid,20,1
dragon,35,4
other-dog,34,4
other-canine,13,8
brown-bear,52,1
husky,26,11
monkey,26,1
dragon,40,3
coyote,14,6
badger,17,1
domestic-cat,29,7
deer,32,1
griffin,24,3
lion,34,1
red-fox,37,1
koala,26,1
griffin,40,1
raptor,29,2
kangaroo,29,1
kangaroo,28,2
lemur,25,2
leopard,28,3
dinosaur,36,1
horse,36,1
bat,36,1
red-panda,30,1
cougar,17,2
horse,25,5
rat,34,1
other-bird,34,1
dinosaur,30,1
lizard,28,4
arctic-fox,11,1
coyote,28,1
jackal,28,5
german-shep,28,5
othermarsupial,21,3
lemur,20,1
snow-leopard,30,3
collie,21,12
other-musteloid,27,3
other-reptile,29,2
red-panda,29,2
horse,29,3
panda-bear,29,1
other-fox,44,1
cheetah,44,1
other-musteloid,44,1
other,44,4
rat,13,3
dragon,33,3
leopard,27,2
other-ungulate,36,1
polar-bear,16,2
grey-fox,32,1
kitsune,32,2
other-fox,32,3
jackal,32,1
german-shep,32,1
other-dog,32,3
other-canine,32,2
tiger,32,2
cheetah,32,3
cougar,32,1
kitsune,43,2
domestic-cat,43,2
other-mustelid,43,2
horse,43,3
kangaroo,43,1
wolf,2013,4
cheetah,36,3
bat,15,1
squirrel,24,1
other-dog,54,1
jackal,44,1
griffin,44,1
other-feline,58,1
dragon,48,1
other-reptile,48,1
coyote,25,5
cougar,16,4
squirrel,25,1
leopard,23,7
other-primate,23,1
panther,25,4
snow-leopard,27,4
rat,23,2
other-feline,,1
arctic-fox,48,1
other-mustelid,17,2
wolf,11,3
raccoon,53,1
raccoon,27,1
grey-fox,13,3
kitsune,30,4
other-bear,32,2
other-musteloid,16,2
tiger,,3
lion,,3
leopard,,2
cheetah,,2
panda-bear,,1
polar-bear,,1
brown-bear,35,1
snow-leopard,26,5
panther,37,1
snow-leopard,42,1
other-bear,34,1
snow-leopard,31,2
wolf,41,2
wolf,55,1
husky,55,1
tiger,49,1
tiger,31,10
cheetah,49,1
leopard,42,1
wolf,39,2
other-mustelid,23,1
red-fox,42,1
snow-leopard,13,2
other-primate,20,4
rabbit,49,1
polar-bear,31,2
red-fox,53,4
panther,53,1
snow-leopard,32,2
weasel,22,2
hyena,28,2
other-mustelid,,1
other-musteloid,-1981,1
other,-1981,1
arctic-fox,13,4
red-fox,59,1
sea-otter,16,2
red-panda,26,2
other-feline,51,1
other,51,2
lizard,14,2
other-dog,46,1
other,46,3
other-bear,61,1
other,61,1
other-bird,29,1
german-shep,44,1
leopard,44,1
other-feline,44,2
dragon,44,2
other-musteloid,22,2
other-fox,43,1
other-ungulate,44,1
raptor,28,2
grizzly-bear,21,2
husky,30,4
wolf,65,1
coyote,65,1
panther,65,1
other-feline,65,1
red-panda,65,1
other,65,1
lemur,65,1
sea-otter,25,2
raccoon,30,3
skunk,38,1
rat,14,4
wolf,63,1
wolf,56,2
bat,56,1
panther,33,2
rabbit,29,3
kitsune,29,3
hyena,39,1
other-feline,40,3
squirrel,40,1
domestic-cat,44,1
rabbit,61,1
squirrel,30,1
sea-otter,30,1
brown-bear,30,2
grizzly-bear,30,3
panda-bear,30,1
other-bear,30,2
kangaroo,30,1
hyena,30,2
othermarsupial,16,2
coyote,35,2
polar-bear,34,1
coyote,56,1
arctic-fox,31,1
kitsune,31,3
rabbit,31,5
other-dog,38,1
other-mustelid,55,1
other,55,1
jackal,16,3
wolf,2012,1
panda-bear,15,4
rat,15,1
grey-fox,27,3
panther,27,2
brown-bear,17,2
mouse,29,4
hyena,29,3
deer,26,2
rat,31,1
badger,21,3
rabbit,38,2
other-bird,12,2
horse,42,4
other-bird,13,2
lizard,24,3
weasel,21,4
red-fox,39,1
skunk,25,1
badger,25,1
river-otter,25,4
griffin,28,1
arctic-fox,,1
coyote,,5
husky,,4
lizard,,2
deer,,5
hyena,,1
kangaroo,34,1
other-fox,13,5
german-shep,13,2
husky,13,6
lion,13,2
panther,13,3
panda-bear,22,2
kitsune,44,1
skunk,44,1
mouse,44,1
kitsune,26,7
horse,26,6
panda-bear,26,3
squirrel,26,2
red-fox,43,1
jackal,43,1
polar-bear,17,2
polar-bear,26,2
other-feline,54,2
other-dog,40,1
panda-bear,43,1
rabbit,55,1
raccoon,40,1
dragon,-3960,1
other,-3960,1
other-bird,-3960,1
griffin,-3960,1
tiger,50,1
brown-bear,44,1
wolf,67,1
red-fox,67,1
kitsune,67,1
jackal,67,1
husky,67,1
raccoon,67,1
river-otter,67,1
deer,67,1
mouse,67,1
rabbit,67,1
kangaroo,67,1
hyena,67,1
koala,21,3
other-feline,46,1
horse,46,1
tiger,44,1
squirrel,28,2
panda-bear,36,1
cougar,45,1
other-musteloid,21,4
polar-bear,22,3
leopard,21,4
cougar,30,1
cougar,,1
other-feline,2013,1
leopard,26,1
other-canine,37,1
raccoon,37,1
cougar,29,1
raven,29,2
rabbit,42,1
deer,13,4
othermarsupial,13,1
brown-bear,32,1
kangaroo,32,1
polar-bear,24,2
grizzly-bear,27,3
rat,27,1
cheetah,27,1
rabbit,40,1
badger,27,2
tiger,14,3
lion,14,3
snow-leopard,14,5
river-otter,14,2
red-panda,14,3
brown-bear,14,1
koala,14,1
bat,31,2
raccoon,34,1
other-ungulate,34,1
koala,18,2
other-mustelid,14,2
sea-otter,38,1
other-mustelid,38,1
rat,28,3
skunk,46,1
tiger,43,1
snow-leopard,43,1
red-fox,70,1
horse,70,1
other-dog,43,2
sea-otter,28,2
weasel,26,1
mouse,21,2
lemur,21,2
horse,51,1
wolf,12,4
brown-bear,37,1
lion,70,1
red-fox,33,1
lion,53,1
dragon,39,2
raptor,31,1
other-bird,31,1
monkey,31,1
lemur,,1
other-reptile,25,1
husky,2013,1
tiger,13,3
skunk,13,3
river-otter,13,2
sea-otter,13,3
horse,13,4
brown-bear,13,2
kangaroo,13,3
hyena,13,4
husky,43,1
badger,43,1
hyena,43,1
griffin,43,1
weasel,15,3
leopard,25,2
other-primate,24,2
horse,32,2
dragon,38,3
other-mustelid,46,1
jackal,,2
red-panda,15,3
cougar,39,1
squirrel,29,2
other-musteloid,,1
other-dog,51,1
collie,30,1
cougar,34,1
mouse,43,2
rat,43,1
other-mustelid,27,3
hyena,32,1
skunk,45,1
other-feline,41,1
river-otter,41,1
cheetah,16,2
bat,27,1
coyote,45,1
lizard,15,1
grey-fox,30,1
collie,14,2
leopard,14,4
panther,14,4
cheetah,14,3
mouse,14,1
squirrel,14,1
kangaroo,14,3
lion,38,1
horse,50,1
other-dog,49,1
dinosaur,49,1
other,49,1
other-feline,34,3
grizzly-bear,16,3
raven,25,1
othermarsupial,25,2
lion,42,1
cougar,22,4
other-mustelid,28,1
badger,18,1
squirrel,2013,1
coyote,31,3
red-fox,11,2
kitsune,11,1
coyote,11,1
jackal,11,1
collie,11,1
tiger,11,1
leopard,11,1
panther,11,1
cheetah,11,1
domestic-cat,11,3
dragon,11,1
raccoon,11,1
badger,11,1
river-otter,11,1
sea-otter,11,1
weasel,11,1
deer,11,1
squirrel,11,1
raptor,11,1
rabbit,11,1
kangaroo,11,1
hyena,11,2
griffin,11,1
weasel,14,3
cougar,43,1
skunk,43,1
river-otter,43,1
squirrel,43,1
raven,43,1
raptor,43,1
rabbit,43,1
polar-bear,33,1
raven,33,1
dragon,-1943,1
sea-otter,,1
brown-bear,,1
brown-bear,28,2
coyote,13,2
collie,13,3
cheetah,13,3
polar-bear,13,3
other-canine,11,1
snow-leopard,11,1
red-panda,11,1
other,11,1
bat,11,2
cheetah,37,1
other-ungulate,37,1
other-dog,48,2
raptor,44,1
brown-bear,27,1
lemur,26,1
tiger,36,2
cougar,31,2
badger,31,2
sea-otter,31,1
red-panda,31,1
grizzly-bear,31,1
mouse,31,1
kangaroo,31,1
husky,11,1
lizard,29,2
grizzly-bear,28,2
sea-otter,26,1
red-panda,27,2
brown-bear,15,1
domestic-cat,39,1
lizard,34,1
other-musteloid,28,1
other-feline,36,1
brown-bear,25,4
grizzly-bear,25,1
polar-bear,25,1
kitsune,13,1
cougar,13,3
dinosaur,13,1
badger,13,1
weasel,13,1
red-panda,13,1
grizzly-bear,13,1
panda-bear,13,1
mouse,13,1
squirrel,13,2
rabbit,13,2
lemur,13,1
monkey,13,1
koala,15,1
grizzly-bear,24,1
arctic-fox,10,1
leopard,10,1
grizzly-bear,10,1
koala,10,1
monkey,10,1
rat,26,1
badger,24,1
deer,28,1
other-reptile,,1
raven,13,2
snow-leopard,36,1
rat,33,1
domestic-cat,48,1
brown-bear,48,1
polar-bear,48,1
mouse,48,1
rat,48,1
rabbit,48,1
othermarsupial,48,1
kitsune,46,1
othermarsupial,28,1
snow-leopard,47,1
other-canine,38,1
other-dog,50,1
other,50,1
panda-bear,27,1
polar-bear,27,1
monkey,19,1
leopard,38,1
raptor,38,1
rat,35,1
kitsune,53,1
rabbit,,1
other-ungulate,15,2
arctic-fox,36,1
weasel,31,1
other-mustelid,31,1
river-otter,34,1
kitsune,35,1
other-bird,35,2
