species,age,count
red-fox,23,51
arctic-fox,27,8
husky,24,21
wolf,30,28
red-fox,34,5
horse,63,1
domestic-cat,51,1
dragon,51,5
raccoon,28,5
other-ungulate,28,3
other,28,33
tiger,40,1
squirrel,32,3
jackal,34,2
red-fox,18,82
domestic-cat,18,44
wolf,18,178
red-fox,19,67
red-panda,21,10
wolf,46,3
panther,46,1
coyote,20,14
domestic-cat,22,33
cougar,20,5
domestic-cat,20,50
kitsune,36,2
dragon,37,6
domestic-cat,36,5
wolf,19,174
german-shep,19,22
other-canine,19,26
river-otter,19,15
sea-otter,19,7
other-musteloid,19,2
mouse,19,7
other,19,148
wolf,23,96
dragon,36,4
raccoon,36,2
other-feline,18,34
other,18,148
horse,38,4
horse,28,14
coyote,21,17
other-canine,21,22
river-otter,21,16
other,21,139
kangaroo,21,10
jackal,20,15
red-fox,28,19
other-canine,28,3
lizard,31,3
domestic-cat,23,31
cheetah,33,4
red-fox,32,7
cheetah,40,1
wolf,28,50
husky,28,12
wolf,24,72
arctic-fox,24,12
coyote,24,10
tiger,24,14
snow-leopard,24,15
panther,24,10
skunk,24,3
red-panda,24,9
badger,29,1
kitsune,27,3
tiger,30,8
dragon,21,71
wolf,21,137
other-ungulate,27,8
other,27,45
other-dog,24,20
other,24,78
dragon,43,5
dragon,49,3
kitsune,19,13
dinosaur,25,3
badger,20,4
other,20,149
other-bird,20,21
lizard,22,10
wolf,25,60
other-fox,30,4
other,30,20
other-dog,19,37
wolf,29,28
griffin,38,1
raptor,25,4
cheetah,22,13
domestic-cat,30,7
river-otter,28,9
german-shep,17,16
domestic-cat,26,15
german-shep,26,8
wolf,26,54
dragon,26,29
lizard,26,8
dinosaur,26,3
other-reptile,26,5
other,26,40
dragon,24,44
wolf,17,118
other-fox,26,8
domestic-cat,21,28
other-dog,23,33
other,23,100
husky,22,34
horse,22,14
mouse,22,3
leopard,20,5
panther,20,7
horse,23,22
arctic-fox,22,26
red-fox,17,59
arctic-fox,17,23
snow-leopard,17,22
other-dog,18,44
arctic-fox,29,5
other-feline,29,8
river-otter,29,2
other,29,28
dragon,42,2
dinosaur,42,2
other-reptile,42,2
other,42,6
red-fox,20,49
dragon,31,15
snow-leopard,29,5
river-otter,26,8
wolf,35,9
red-fox,22,61
other-fox,22,27
other,22,130
wolf,16,128
lion,31,3
lizard,19,28
husky,17,48
other-canine,23,14
collie,28,3
raccoon,31,3
other-reptile,17,6
other,17,106
jackal,27,5
grey-fox,28,3
tiger,28,14
dinosaur,28,2
husky,23,33
skunk,23,10
cheetah,30,4
brown-bear,19,6
dragon,16,42
wolf,20,145
husky,20,47
other-dog,20,38
kitsune,18,19
domestic-cat,15,25
dragon,17,57
dragon,19,68
deer,33,2
other,33,18
other-bird,33,1
griffin,33,1
panther,19,16
other-dog,31,8
other,31,20
kangaroo,20,10
raven,26,3
bat,26,5
domestic-cat,19,63
tiger,26,18
domestic-cat,24,19
other-feline,24,15
dinosaur,24,5
river-otter,24,12
other-ungulate,24,11
raven,24,6
rabbit,24,7
kangaroo,24,8
cougar,26,2
coyote,27,6
german-shep,27,6
horse,47,1
leopard,36,2
lizard,27,7
coyote,26,8
other-dog,36,4
other,36,9
red-fox,26,31
arctic-fox,26,6
dragon,23,61
domestic-cat,27,8
tiger,39,4
other-reptile,39,1
other,39,3
other-feline,19,19
dragon,22,50
dinosaur,22,3
red-fox,15,38
hyena,16,15
other-fox,16,32
coyote,16,7
other,16,116
cougar,23,3
dragon,25,32
kitsune,22,15
wolf,27,48
arctic-fox,14,10
husky,14,14
coyote,18,16
rabbit,19,17
other-feline,16,22
snow-leopard,20,18
skunk,20,8
rabbit,20,27
griffin,20,18
domestic-cat,38,1
other-feline,38,2
other,38,6
other-mustelid,19,7
jackal,19,5
horse,19,11
lion,25,13
other,25,78
other-bird,25,8
kangaroo,25,4
husky,18,59
red-panda,18,6
brown-bear,18,13
grizzly-bear,18,6
panda-bear,18,4
polar-bear,18,6
brown-bear,20,5
red-fox,16,55
grey-fox,16,14
dragon,20,77
domestic-cat,16,36
rabbit,17,19
red-fox,25,27
other-dog,25,22
tiger,25,12
domestic-cat,25,23
mouse,25,4
rabbit,25,10
husky,16,41
domestic-cat,31,8
other-fox,17,42
tiger,17,29
domestic-cat,17,39
raccoon,17,19
sea-otter,17,13
wolf,22,103
raccoon,19,14
cheetah,24,4
kitsune,20,23
deer,24,6
dragon,18,73
grizzly-bear,29,2
dragon,28,23
raccoon,25,9
red-fox,21,58
kitsune,21,18
husky,21,35
arctic-fox,19,26
coyote,19,13
bat,16,10
coyote,23,13
jackal,23,5
german-shep,23,10
lizard,23,11
dinosaur,23,8
other-reptile,23,12
deer,23,12
other-ungulate,23,5
brown-bear,23,8
grizzly-bear,23,9
polar-bear,23,10
other-bear,23,7
monkey,23,2
hyena,23,5
griffin,23,8
grey-fox,26,5
lion,26,4
coyote,36,2
rat,30,2
lemur,30,2
raccoon,21,15
wolf,31,19
panther,31,5
horse,31,6
griffin,31,4
hyena,17,9
river-otter,22,28
dragon,29,13
tiger,21,28
cheetah,21,7
raptor,21,14
other-feline,26,9
kangaroo,22,6
bat,22,7
coyote,32,3
river-otter,32,4
cheetah,17,9
horse,14,5
squirrel,23,3
leopard,17,5
bat,19,16
wolf,32,18
raven,21,5
grey-fox,36,2
lion,17,10
other-bear,27,1
river-otter,30,2
griffin,30,2
husky,25,17
red-fox,24,29
other-ungulate,21,13
raccoon,20,14
other-fox,21,38
wolf,33,9
other-dog,33,2
tiger,33,5
snow-leopard,33,4
lizard,33,1
river-otter,33,1
kangaroo,33,2
mouse,16,4
other-mustelid,20,8
other-canine,16,16
lion,20,17
horse,20,17
deer,20,23
grizzly-bear,20,4
tiger,20,26
raven,23,12
domestic-cat,28,14
husky,19,49
squirrel,18,7
weasel,19,8
other-bird,19,11
raven,36,1
other-fox,20,28
arctic-fox,41,1
coyote,41,1
jackal,41,1
other-dog,41,2
horse,41,1
other,41,4
hyena,41,1
raccoon,32,4
grey-fox,21,14
tiger,22,24
wolf,,21
kitsune,,7
other-fox,,8
domestic-cat,,8
other,,19
grey-fox,17,11
kitsune,17,17
grey-fox,18,20
wolf,45,4
jackal,21,11
panda-bear,42,1
rabbit,45,2
other-fox,27,11
hyena,20,11
other-canine,41,1
grizzly-bear,41,1
snow-leopard,22,17
hyena,31,3
husky,29,4
other-bird,17,4
german-shep,20,15
wolf,34,9
tiger,34,3
grey-fox,34,1
kitsune,34,1
other-fox,34,3
husky,34,4
